Name,Property_Title,Price,Location,Total_Area,Price_per_SQFT,Baths,Balcony
Joyshree BaranagarKolkata,3 BHK Flat for sale in Baranagar Kolkata,40.0 L,Joyshree BaranagarKolkata,1300,3080,3,Yes
S N Roy RoadBlock E New AliporeKolkata,4 BHK Flat for sale in New Alipore Kolkata,55.0 L,S N Roy RoadBlock E New AliporeKolkata,1500,3670,3,No
Ramkrishnapally HridaypurKolkata,4 BHK Independent House for sale in Hridaypur Kolkata,60.0 L,Ramkrishnapally HridaypurKolkata,2200,2730,4,Yes
Joyshree BaranagarKolkata,6 BHK Independent House for sale in Baranagar Kolkata,1.0 Cr,Joyshree BaranagarKolkata,3500,2860,1,Yes
Kemia Apartments Lotus Phase II,1 BHK Flat for sale in Nayabad Kolkata,32.0 L,Bikash Guha Colony NayabadKolkata,756,4230,2,No
Sonarpur Kolkata,3 BHK Flat for sale in Sonarpur Kolkata,33.0 L,Sonarpur Kolkata,928,3560,3,Yes
The SoulAction Area III New TownKolkata,2 BHK Flat for sale in New Town Kolkata,80.0 L,The SoulAction Area III New TownKolkata,975,8210,3,Yes
PropertyGolf Green Kolkata,2 BHK Flat for sale in Golf Green Kolkata,31.5 L,PropertyGolf Green Kolkata,700,4500,2,Yes
NBCC Vibgyor Towers,4 BHK Flat for sale in New Town Kolkata,85.0 L,Action Area I New TownKolkata,1578,5390,3,Yes
Ma Tara Apartment,2 BHK Independent House for sale in Paschim Barisha Kolkata,21.0 L,Sakher Bazar Paschim BarishaKolkata,752,2790,2,Yes
Behala chow rastaDiamond Harbour Kolkata,4 BHK Independent House for sale in Diamond Harbour Kolkata,38.0 L,Behala chow rastaDiamond Harbour Kolkata,1469,2590,3,No
Sarada niketanRamchandrapur NarendrapurKolkata,2 BHK Flat for sale in Narendrapur Kolkata,14.0 L,Sarada niketanRamchandrapur NarendrapurKolkata,550,2540,2,No
Deshbandhu Nagar Kolkata,3 BHK Independent House for sale in Deshbandhu Nagar Kolkata,63.0 L,Deshbandhu Nagar Kolkata,1200,5250,3,No
Rajbari Dum Dum CantonmentKolkata,5 BHK Villa for sale in Dum Dum Cantonment Kolkata,2.5 Cr,Rajbari Dum Dum CantonmentKolkata,3000,8330,4,Yes
Panchanan Tala BehalaKolkata,8 BHK Independent House for sale in Behala Kolkata,58.0 L,Panchanan Tala BehalaKolkata,2000,2900,4,Yes
Jagannathgarh MahheshtalaKolkata,3 BHK Flat for sale in Mahheshtala Kolkata,45.0 L,Jagannathgarh MahheshtalaKolkata,1215,3700,3,No
Noapara BarasatKolkata,2 BHK Independent House for sale in Barasat Kolkata,59.0 L,Noapara BarasatKolkata,3600,1640,2,Yes
Goa Bagan ManiktalaKolkata,5 BHK Independent House for sale in Maniktala Kolkata,1.0 Cr,Goa Bagan ManiktalaKolkata,1300,7690,3,No
Jagannathgarh MahheshtalaKolkata,5 BHK Independent House for sale in Mahheshtala Kolkata,35.0 L,Jagannathgarh MahheshtalaKolkata,1500,2330,3,Yes
Merlin Emerald Shibrampur MahheshtalaKolkata,2 BHK Flat for sale in Mahheshtala Kolkata,15.0 L,Merlin Emerald Shibrampur MahheshtalaKolkata,680,2210,2,Yes
Haridevpur Paschim PutiaryKolkata,1 BHK Flat for sale in Paschim Putiary Kolkata,11.5 L,Haridevpur Paschim PutiaryKolkata,508,2260,2,Yes
Ideal Residency,2 BHK Flat for sale in Kankurgachi Kolkata,1.25 Cr,Kankurgachi Kolkata,1235,10120,3,No
Hiland Greens,2 BHK Flat for sale in Mahheshtala Kolkata,17.0 L,Jagannathgarh MahheshtalaKolkata,712,2390,2,Yes
Philips Colony Purba BarishaKolkata,3 BHK Independent House for sale in Purba Barisha Kolkata,1.4 Cr,Philips Colony Purba BarishaKolkata,1650,8480,3,Yes
Amar Iccha ApartmentKustia Kolkata,4 BHK Flat for sale in Kustia Kolkata,95.0 L,Amar Iccha ApartmentKustia Kolkata,1667,5700,3,Yes
Nishchintapur Budge BudgeKolkata,3 BHK Flat for sale in Budge Budge Kolkata,30.0 L,Nishchintapur Budge BudgeKolkata,1100,2730,3,No
S N Roy RoadSahapur New AliporeKolkata,4 BHK Flat for sale in New Alipore Kolkata,55.0 L,S N Roy RoadSahapur New AliporeKolkata,1380,3980,3,No
Noapara Joyshree BaranagarKolkata,3 BHK Flat for sale in Baranagar Kolkata,34.0 L,Noapara Joyshree BaranagarKolkata,960,3540,3,Yes
Noapara BarasatKolkata,2 BHK Independent House for sale in Barasat Kolkata,59.5 L,Noapara BarasatKolkata,6594,902000,6,Yes
 Vishwakarma Building,2 BHK Flat for sale in Topsia Kolkata,20.0 L,Seal Lane TopsiaKolkata,850,2350,3,Yes
Binoy Pally NatagarhKolkata,2 BHK Independent House for sale in Natagarh Kolkata,35.0 L,Binoy Pally NatagarhKolkata,3254,1070,6,Yes
Bhawani Dreams,2 BHK Flat for sale in North Dum Dum Kolkata,95.0 L,Bediapara North Dum DumKolkata,1180,8050,3,Yes
Subodhbala ComplexPicnic Garden Kolkata,2 BHK Flat for sale in Picnic Garden Kolkata,20.0 L,Subodhbala ComplexPicnic Garden Kolkata,650,3080,2,No
Debika ApartmentSouth Roy Nagar BramhapurKolkata,2 BHK Flat for sale in Bramhapur Kolkata,16.0 L,Debika ApartmentSouth Roy Nagar BramhapurKolkata,660,2420,2,No
Greater Bakul Bithi ThakurpukurKolkata,6 BHK Independent House for sale in Thakurpukur Kolkata,1.2 Cr,Greater Bakul Bithi ThakurpukurKolkata,1600,7500,3,Yes
Roopsikha appartment Birendranagar Colony BelgachiaKolkata,3 BHK Flat for sale in Belgachia Kolkata,50.0 L,Roopsikha appartment Birendranagar Colony BelgachiaKolkata,1075,4650,3,No
Bediapara North Dum DumKolkata,3 BHK Independent House for sale in North Dum Dum Kolkata,1.7 Cr,Bediapara North Dum DumKolkata,1900,8950,3,Yes
Purti FlowersJagannathgarh MahheshtalaKolkata,3 BHK Independent House for sale in Mahheshtala Kolkata,45.0 L,Purti FlowersJagannathgarh MahheshtalaKolkata,1000,4500,3,No
Gostotala New Scheme KamdahariKolkata,3 BHK Independent House for sale in Kamdahari Kolkata,1.0 Cr,Gostotala New Scheme KamdahariKolkata,3500,2860,1,Yes
Pal Para MahheshtalaKolkata,2 BHK Independent House for sale in Mahheshtala Kolkata,30.0 L,Pal Para MahheshtalaKolkata,720,4170,2,Yes
Nabapally BarasatNoapara BarasatKolkata,5 BHK Independent House for sale in Barasat Kolkata,82.0 L,Nabapally BarasatNoapara BarasatKolkata,1555,5270,3,No
Bamangachi Noapara BarasatKolkata,2 BHK Independent House for sale in Barasat Kolkata,59.0 L,Bamangachi Noapara BarasatKolkata,6587,895000,1,Yes
Labanya Apartment Rabindra Nagar MahheshtalaKolkata,2 BHK Flat for sale in Mahheshtala Kolkata,26.0 L,Labanya Apartment Rabindra Nagar MahheshtalaKolkata,735,3540,2,No
Tripura Sundari apartment Baidyapara GariaKolkata,2 BHK Independent House for sale in Garia Kolkata,34.0 L,Tripura Sundari apartment Baidyapara GariaKolkata,850,4000,3,Yes
No. 152Binay Singh Colony TiljalaKolkata,2 BHK Flat for sale in Tiljala Kolkata,30.0 L,No. 152Binay Singh Colony TiljalaKolkata,700,4290,2,Yes
Samarpan Appartment thakurpukur Purbasan ThakurpukurKolkata,2 BHK Flat for sale in Thakurpukur Kolkata,18.0 L,Samarpan Appartment thakurpukur Purbasan ThakurpukurKolkata,760,2370,2,Yes
Sikdar Para BehalaKolkata,2 BHK Independent House for sale in Behala Kolkata,65.0 L,Sikdar Para BehalaKolkata,1000,6500,3,Yes
Sri radha apartmentSonarpur Kolkata,2 BHK Flat for sale in Sonarpur Kolkata,19.0 L,Sri radha apartmentSonarpur Kolkata,520,3650,2,Yes
Fartabad GariaKolkata,10 BHK Independent House for sale in Garia Kolkata,1.6 Cr,Fartabad GariaKolkata,3600,4440,5,Yes
New Barrakpur Kolkata,3 BHK Independent House for sale in New Barrakpur Kolkata,40.0 L,New Barrakpur Kolkata,1361,2940,3,Yes
New Ballygunge KasbaKolkata,1 BHK Independent House for sale in Kasba Kolkata,13.0 L,New Ballygunge KasbaKolkata,350,3710,1,No
Block P New AliporeKolkata,6 BHK Independent House for sale in New Alipore Kolkata,2.5 Cr,Block P New AliporeKolkata,3090,8090,3,Yes
Jagatpur BaguiatiKolkata,2 BHK Independent House for sale in Baguiati Kolkata,16.0 L,Jagatpur BaguiatiKolkata,700,2290,2,No
Malancha Mahi Nagar Kolkata,3 BHK Independent House for sale in Malancha Mahi Nagar Kolkata,19.5 L,Malancha Mahi Nagar Kolkata,1530,1270,3,Yes
Paschim Nischintapur BoralKolkata,4 BHK Independent House for sale in Boral Kolkata,57.0 L,Paschim Nischintapur BoralKolkata,1440,3960,3,No
Roychak Kolkata,2 BHK Flat for sale in Roychak Kolkata,35.0 L,Roychak Kolkata,850,4120,3,No
Highland Greens,2 BHK Flat for sale in Mahheshtala Kolkata,18.0 L,Jagannathgarh MahheshtalaKolkata,650,2770,2,No
Kamalalay Apartment,3 BHK Flat for sale in Barasat Kolkata,29.0 L,Barasat Kolkata,1044,2780,3,Yes
Rani VillaKalyan Nagar RaharaKolkata,1 BHK Flat for sale in Rahara Kolkata,12.0 L,Rani VillaKalyan Nagar RaharaKolkata,500,2400,2,Yes
Purba Sinthi South Dum DumKolkata,6 BHK Independent House for sale in South Dum Dum Kolkata,1.45 Cr,Purba Sinthi South Dum DumKolkata,1000,14500,3,Yes
chinmoyee apartment,1 BHK Flat for sale in Barrackpore Kolkata,17.0 L,Anandapuri BarrackporeKolkata,580,2930,2,No
Barrackpore Kolkata,8 BHK Independent House for sale in Barrackpore Kolkata,98.0 L,Barrackpore Kolkata,3200,3060,2,Yes
Riya Gitanjali,1 BHK Flat for sale in Ruiya Kolkata,17.0 L,Ruiya Kolkata,539,3150,2,Yes
Bengal Ambuja Fartabad GariaKolkata,1 BHK Flat for sale in Garia Kolkata,35.0 L,Bengal Ambuja Fartabad GariaKolkata,582,6010,2,No
Hiland Greens,2 BHK Flat for sale in Mahheshtala Kolkata,35.0 L,Jagannathgarh MahheshtalaKolkata,712,4920,2,No
North Balia GariaKolkata,3 BHK Independent House for sale in Garia Kolkata,2.3 Cr,North Balia GariaKolkata,2000,11500,5,Yes
Bisharpara BiratiKolkata,3 BHK Independent House for sale in Birati Kolkata,40.0 L,Bisharpara BiratiKolkata,1361,2940,3,Yes
Barrackpore Kolkata,8 BHK Independent House for sale in Barrackpore Kolkata,98.0 L,Barrackpore Kolkata,3100,3160,6,Yes
Watganj Kolkata,2 BHK Independent House for sale in Watganj Kolkata,75.0 L,Watganj Kolkata,1080,6940,3,No
Genexx ValleyGreater Bakul Bithi ThakurpukurKolkata,2 BHK Flat for sale in Thakurpukur Kolkata,44.0 L,Genexx ValleyGreater Bakul Bithi ThakurpukurKolkata,1034,4250,3,No
Camac Court,4 BHK Flat for sale in Park Street Area Kolkata,4.5 Cr,Park Street Area Kolkata,2560,17580,4,Yes
BRS 3Surir Bagan UltadangaKolkata,1 BHK Flat for sale in Ultadanga Kolkata,20.0 L,BRS 3Surir Bagan UltadangaKolkata,650,3080,2,Yes
Sanjay Mansion ApartmentShibachal BiratiKolkata,1 BHK Flat for sale in Birati Kolkata,17.0 L,Sanjay Mansion ApartmentShibachal BiratiKolkata,462,3680,2,Yes
Dipti Apartment Dakshindari Kolkata,2 BHK Flat for sale in Dakshindari Kolkata,24.0 L,Dipti Apartment Dakshindari Kolkata,824,2910,3,No
Sonarpur Kolkata,4 BHK Independent House for sale in Sonarpur Kolkata,65.0 L,Sonarpur Kolkata,1800,3610,3,Yes
Sree Guru Apartment Dunlop Bonhooghly on BT Road DunlopKolkata,2 BHK Flat for sale in Dunlop Kolkata,14.0 L,Sree Guru Apartment Dunlop Bonhooghly on BT Road DunlopKolkata,600,2330,2,No
Sonarpur Kolkata,3 BHK Independent House for sale in Sonarpur Kolkata,44.0 L,Sonarpur Kolkata,1100,4000,3,Yes
Eden Richmond Park,3 BHK Flat for sale in Malancha Mahi Nagar Kolkata,85.0 L,Kodalla Malancha Mahi NagarKolkata,1250,6800,3,No
Anandapur East Kolkata TownshipKolkata,2 BHK Independent House for sale in East Kolkata Township Kolkata,1.8 Cr,Anandapur East Kolkata TownshipKolkata,900,20000,3,Yes
Sakher Bazar Purba BarishaKolkata,6 BHK Independent House for sale in Purba Barisha Kolkata,1.1 Cr,Sakher Bazar Purba BarishaKolkata,2700,4070,4,Yes
Larica Township,3 BHK Flat for sale in Barasat Kolkata,20.0 L,Barasat Kolkata,1048,1910,3,No
State Colony Purba BarishaKolkata,8 BHK Independent House for sale in Purba Barisha Kolkata,1.3 Cr,State Colony Purba BarishaKolkata,5000,2600,5,Yes
Srijani Pally DuttapukurKolkata,4 BHK Independent House for sale in Duttapukur Kolkata,30.0 L,Srijani Pally DuttapukurKolkata,3000,1000,4,Yes
Elita Garden Vista Phase 2,2 BHK Flat for sale in New Town Kolkata,70.0 L,Action Area III New TownKolkata,1000,7000,3,No
Hiland Elgin And Hiland Greens II,2 BHK Flat for sale in Mahheshtala Kolkata,34.0 L,New Land MahheshtalaKolkata,900,3780,3,No
Sanhita Township Project,3 BHK Flat for sale in New Town Kolkata,30.8 L,New Town Kolkata,914,3370,3,No
Natunpara BaruipurKolkata,2 BHK Independent House for sale in Baruipur Kolkata,25.0 L,Natunpara BaruipurKolkata,740,3380,2,No
River bankNew Land MahheshtalaKolkata,2 BHK Flat for sale in Mahheshtala Kolkata,40.0 L,River bankNew Land MahheshtalaKolkata,712,5620,2,No
Sector-1 Salt Lake CityKolkata,10 BHK Independent House for sale in Salt Lake City Kolkata,3.5 Cr,Sector-1 Salt Lake CityKolkata,2700,12960,4,Yes
Madhyamgram Kolkata,5 BHK Independent House for sale in Madhyamgram Kolkata,55.0 L,Madhyamgram Kolkata,1600,3440,3,No
Mayfair Eternity,3 BHK Flat for sale in Harinavi Kolkata,45.0 L,Harinavi Kolkata,1100,4090,3,No
Samanta Para Budge BudgeKolkata,10 BHK Villa for sale in Budge Budge Kolkata,1.45 Cr,Samanta Para Budge BudgeKolkata,3400,4260,4,Yes
Hiland Greens,2 BHK Flat for sale in Mahheshtala Kolkata,37.0 L,Pal Para MahheshtalaKolkata,900,4110,3,No
Paschim Nischintapur BoralKolkata,3 BHK Independent House for sale in Boral Kolkata,70.0 L,Paschim Nischintapur BoralKolkata,1800,3890,3,Yes
Regent Estate,1 RK Flat for sale in Bijoygarh Kolkata,25.0 L,Bijoygarh Kolkata,650,3850,2,No
Diamond Harbour Kolkata,8 BHK Independent House for sale in Diamond Harbour Kolkata,1.5 Cr,Diamond Harbour Kolkata,4000,3750,1,Yes
Rajendra Prasad Colony TollygungeKolkata,3 BHK Independent House for sale in Tollygunge Kolkata,80.0 L,Rajendra Prasad Colony TollygungeKolkata,2041,3920,4,Yes
Ichapur Bidhanpally IchapurKolkata,2 BHK Independent House for sale in Ichapur Kolkata,45.0 L,Ichapur Bidhanpally IchapurKolkata,1900,2370,3,Yes
Sanhita Township Project,1 BHK Flat for sale in New Town Kolkata,14.0 L,New Town Kolkata,550,2540,2,Yes
Jele Para BehalaKolkata,2 BHK Independent House for sale in Behala Kolkata,40.0 L,Jele Para BehalaKolkata,720,5550,2,Yes
New Barrakpur Kolkata,3 BHK Independent House for sale in New Barrakpur Kolkata,55.0 L,New Barrakpur Kolkata,1000,5500,3,No
New Barrakpur Kolkata,3 BHK Independent House for sale in New Barrakpur Kolkata,55.0 L,New Barrakpur Kolkata,1800,3060,3,Yes
Sikdar Para BehalaKolkata,8 BHK Independent House for sale in Behala Kolkata,1.7 Cr,Sikdar Para BehalaKolkata,2400,7080,4,Yes
NabadayBirati Kolkata,2 BHK Independent House for sale in Birati Kolkata,52.0 L,NabadayBirati Kolkata,1100,4730,3,No
Ramchandrapur NarendrapurKolkata,8 BHK Independent House for sale in Narendrapur Kolkata,70.0 L,Ramchandrapur NarendrapurKolkata,3000,2330,1,Yes
Panchanan Tala BehalaKolkata,4 BHK Independent House for sale in Behala Kolkata,1.5 Cr,Panchanan Tala BehalaKolkata,1650,9090,3,Yes
Jagannathgarh MahheshtalaKolkata,3 BHK Independent House for sale in Mahheshtala Kolkata,60.0 L,Jagannathgarh MahheshtalaKolkata,1200,5000,3,No
17 A Nayabad,3 BHK Flat for sale in Nayabad Kolkata,33.0 L,Nayabad Kolkata,1100,3000,3,Yes
Bow Bazaar Kolkata,10 BHK Independent House for sale in Bow Bazaar Kolkata,1.5 Cr,Bow Bazaar Kolkata,3500,4290,4,Yes
Highland Greens,2 BHK Flat for sale in Mahheshtala Kolkata,32.0 L,Darji Para MahheshtalaKolkata,800,4000,2,Yes
Highland Greens,2 BHK Flat for sale in Mahheshtala Kolkata,32.0 L,Darji Para MahheshtalaKolkata,800,4000,1,Yes
Hiland Greens,2 BHK Flat for sale in Mahheshtala Kolkata,18.0 L,Jagannathgarh MahheshtalaKolkata,800,2250,5,Yes
Shrachi Greenwood NestNew Town Kolkata,4 BHK Flat for sale in New Town Kolkata,1.42 Cr,Shrachi Greenwood NestNew Town Kolkata,1755,8090,3,Yes
Ganga Nagar MukundapurKolkata,2 BHK Flat for sale in Mukundapur Kolkata,17.0 L,Ganga Nagar MukundapurKolkata,520,3270,2,Yes
Kalyani Apartment BAKULTALA Bakultala BehalaKolkata,1 BHK Flat for sale in Behala Kolkata,13.0 L,Kalyani Apartment BAKULTALA Bakultala BehalaKolkata,350,3710,1,No
Shobhabazar Kolkata,4 BHK Independent House for sale in Shobhabazar Kolkata,1.6 Cr,Shobhabazar Kolkata,1439,11120,3,No
Kashipur Kolkata,2 BHK Flat for sale in Kashipur Kolkata,16.0 L,Kashipur Kolkata,500,3200,2,Yes
Magnolia City,3 BHK Flat for sale in Barasat Kolkata,26.0 L,Barasat Kolkata,1093,2380,3,No
Noapara BarasatKolkata,2 BHK Flat for sale in Barasat Kolkata,20.0 L,Noapara BarasatKolkata,746,2680,2,No
elite estateRegent Estate BijoygarhKolkata,4 BHK Flat for sale in Bijoygarh Kolkata,2.0 Cr,elite estateRegent Estate BijoygarhKolkata,2400,8330,4,Yes
Shobhabazar Kolkata,4 BHK Independent House for sale in Shobhabazar Kolkata,1.6 Cr,Shobhabazar Kolkata,2080,7690,4,Yes
Ramkrishnanagar NabapallyKolkata,2 BHK Independent House for sale in Nabapally Kolkata,55.0 L,Ramkrishnanagar NabapallyKolkata,830,6630,3,Yes
elite estatesNehru Colony Ashok NagarKolkata,2 BHK Flat for sale in Ashok Nagar Kolkata,18.0 L,elite estatesNehru Colony Ashok NagarKolkata,540,3330,2,Yes
Mayfair Symphony,1 RK Flat for sale in Narendrapur Kolkata,17.0 L,Dakshin Jagatdal NarendrapurKolkata,530,3210,2,No
Diamond Harbour Kolkata,8 BHK Independent House for sale in Diamond Harbour Kolkata,1.5 Cr,Diamond Harbour Kolkata,4000,3750,2,Yes
Emboss aaloy HarinaviKolkata,2 BHK Independent House for sale in Harinavi Kolkata,69.0 L,Emboss aaloy HarinaviKolkata,1300,5310,3,No
Kankurgachi Kolkata,2 BHK Independent House for sale in Kankurgachi Kolkata,2.5 Cr,Kankurgachi Kolkata,750,33330,2,No
Malancha Mahi Nagar Kolkata,1 BHK Independent House for sale in Malancha Mahi Nagar Kolkata,22.0 L,Malancha Mahi Nagar Kolkata,1440,1530,3,No
Goa Bagan ManiktalaKolkata,5 BHK Independent House for sale in Maniktala Kolkata,1.3 Cr,Goa Bagan ManiktalaKolkata,3300,3940,1,Yes
Kabardanga Kolkata,4 BHK Independent House for sale in Kabardanga Kolkata,55.0 L,Kabardanga Kolkata,1400,3930,3,Yes
Vinay construction Chowhati RajpurKolkata,2 BHK Flat for sale in Rajpur Kolkata,45.0 L,Vinay construction Chowhati RajpurKolkata,900,5000,3,Yes
Aman ApartmentHana Para KeshtopurKolkata,4 BHK Flat for sale in Keshtopur Kolkata,60.0 L,Aman ApartmentHana Para KeshtopurKolkata,1675,3580,3,Yes
Michael Nagar New BarrakpurKolkata,2 BHK Independent House for sale in New Barrakpur Kolkata,82.0 L,Michael Nagar New BarrakpurKolkata,1800,4550,3,Yes
ABS Residency,1 BHK Flat for sale in Paschim Barisha Kolkata,12.0 L,Malir Bagan Paschim BarishaKolkata,471,2550,2,No
Rabindra Pally KeshtopurKolkata,4 BHK Flat for sale in Keshtopur Kolkata,60.0 L,Rabindra Pally KeshtopurKolkata,1675,3580,3,Yes
Pushpa VillaNew Ballygunge KasbaKolkata,1 BHK Flat for sale in Kasba Kolkata,28.0 L,Pushpa VillaNew Ballygunge KasbaKolkata,450,6220,2,No
BGA Amrita Abashan 2,1 BHK Flat for sale in Arapanch Kolkata,7.0 L,Arapanch Kolkata,350,2000,1,No
Darjipara HeduaKolkata,8 BHK Independent House for sale in Hedua Kolkata,1.0 Cr,Darjipara HeduaKolkata,2250,4440,4,Yes
Madgul Antaraa,3 BHK Flat for sale in Joka Kolkata,95.0 L,Nabapally JokaKolkata,1265,7510,3,No
Sonarpur Kolkata,5 BHK Independent House for sale in Sonarpur Kolkata,60.0 L,Sonarpur Kolkata,1500,4000,3,No
Barrackpore Kolkata,1 BHK Flat for sale in Barrackpore Kolkata,17.0 L,Barrackpore Kolkata,460,3690,2,Yes
urban green phaseJagatpur BaguiatiKolkata,2 BHK Flat for sale in Baguiati Kolkata,1.3 Cr,urban green phaseJagatpur BaguiatiKolkata,1344,9670,3,No
Sumanta Apartment,Studio Flat for sale in Garia Kolkata,14.0 L,Fartabad GariaKolkata,400,3500,2,No
Swiss ParkRajendra Prasad Colony TollygungeKolkata,1 BHK Flat for sale in Tollygunge Kolkata,37.0 L,Swiss ParkRajendra Prasad Colony TollygungeKolkata,700,5290,2,No
Orbit Sky View,3 BHK Flat for sale in Paikpara Kolkata,1.3 Cr,Sahid Colony PaikparaKolkata,1405,9250,3,Yes
Amarabati SodepurKolkata,5 BHK Independent House for sale in Sodepur Kolkata,2.5 Cr,Amarabati SodepurKolkata,6030,4140,3,Yes
UrbanaMadurdaha HussainpurKolkata,4 BHK Flat for sale in Hussainpur Kolkata,5.0 Cr,UrbanaMadurdaha HussainpurKolkata,4000,12500,3,Yes
Seal Lane TangraKolkata,5 BHK Independent House for sale in Tangra Kolkata,1.5 Cr,Seal Lane TangraKolkata,1440,10420,3,No
Sahid Colony PaikparaKolkata,6 BHK Independent House for sale in Paikpara Kolkata,2.9 Cr,Sahid Colony PaikparaKolkata,1760,16480,3,Yes
Aranivilla Beehive Garden BelghoriaKolkata,1 BHK Flat for sale in Belghoria Kolkata,8.5 L,Aranivilla Beehive Garden BelghoriaKolkata,450,1890,2,No
Eden Richmond Park,1 BHK Flat for sale in Narendrapur Kolkata,20.0 L,Ramchandrapur NarendrapurKolkata,441,4540,2,No
Asharafabad Government Colony Kolkata,2 BHK Independent House for sale in Asharafabad Government Colony Kolkata,42.0 L,Asharafabad Government Colony Kolkata,1080,3890,3,Yes
Vishnu MahalBallygunj Military Camp BallygungeKolkata,3 BHK Flat for sale in Ballygunge Kolkata,4.3 Cr,Vishnu MahalBallygunj Military Camp BallygungeKolkata,2513,17110,4,Yes
Shantivilla Tollygunge Kolkata,1 BHK Flat for sale in Tollygunge Kolkata,35.0 L,Shantivilla Tollygunge Kolkata,750,4670,2,No
Block M New AliporeKolkata,7 BHK Independent House for sale in New Alipore Kolkata,5.5 Cr,Block M New AliporeKolkata,2700,20370,4,Yes
Merlin River View,2 BHK Flat for sale in Khidirpur Kolkata,1.0 Cr,Andaman Dock KhidirpurKolkata,1093,9150,3,No
Barrackpore Kolkata,3 BHK Independent House for sale in Barrackpore Kolkata,75.0 L,Barrackpore Kolkata,1440,5210,3,No
Ghola AgarparaKolkata,4 BHK Independent House for sale in Agarpara Kolkata,30.0 L,Ghola AgarparaKolkata,3000,1000,4,Yes
Ichhapuran Apartment,2 BHK Flat for sale in Boral Kolkata,21.0 L,Paschim Nischintapur BoralKolkata,700,3000,2,No
Baguiati Kolkata,2 BHK Independent House for sale in Baguiati Kolkata,46.0 L,Baguiati Kolkata,905,5080,3,Yes
Ambuja Upohar The Condoville,4 BHK Flat for sale in Pancha Sayar Kolkata,2.9 Cr,Pancha Sayar Kolkata,3620,8010,2,Yes
DumdumDum Dum Park Kolkata,1 BHK Flat for sale in Dum Dum Park Kolkata,20.0 L,DumdumDum Dum Park Kolkata,400,5000,2,Yes
KalindiEstate,3 BHK Independent House for sale in South Dum Dum Kolkata,60.0 L,Kalindi Housing Estate South Dum DumKolkata,1100,5450,3,No
Santoshpur MahheshtalaKolkata,3 BHK Independent House for sale in Mahheshtala Kolkata,56.0 L,Santoshpur MahheshtalaKolkata,1600,3500,3,Yes
Malancha Mahi Nagar Kolkata,1 BHK Independent House for sale in Malancha Mahi Nagar Kolkata,22.0 L,Malancha Mahi Nagar Kolkata,720,3060,2,No
Harinavi Kolkata,3 BHK Independent House for sale in Harinavi Kolkata,45.0 L,Harinavi Kolkata,1600,2810,3,No
Babupara Purba PutiaryKolkata,3 BHK Independent House for sale in Purba Putiary Kolkata,75.0 L,Babupara Purba PutiaryKolkata,1000,7500,3,No
85 Sarsuna Main Road,1 BHK Flat for sale in Sarsuna Kolkata,20.0 L,Chatterjee Para SarsunaKolkata,570,3510,2,No
Simoco Sanhita Housing Complex Precinct 8,3 BHK Flat for sale in Saduli Kolkata,35.0 L,Saduli Kolkata,1000,3500,3,No
Amarabati SodepurKolkata,8 BHK Independent House for sale in Sodepur Kolkata,1.5 Cr,Amarabati SodepurKolkata,1979,7580,3,Yes
Subash gramSonarpur Kolkata,2 BHK Flat for sale in Sonarpur Kolkata,22.0 L,Subash gramSonarpur Kolkata,750,2930,2,No
Verner Lane BelghoriaKolkata,6 BHK Independent House for sale in Belghoria Kolkata,82.0 L,Verner Lane BelghoriaKolkata,1800,4550,3,Yes
Ballygunj Military Camp BallygungeKolkata,10 BHK Independent House for sale in Ballygunge Kolkata,3.0 Cr,Ballygunj Military Camp BallygungeKolkata,2160,13890,4,Yes
Jyangra BaguiatiKolkata,6 BHK Independent House for sale in Baguiati Kolkata,1.0 Cr,Jyangra BaguiatiKolkata,1800,5550,3,Yes
Building Jagannathgarh MahheshtalaKolkata,2 BHK Flat for sale in Mahheshtala Kolkata,12.0 L,Building Jagannathgarh MahheshtalaKolkata,600,2000,2,Yes
Subhasgram Kolkata,1 R Independent House for sale in Subhasgram Kolkata,16.0 L,Subhasgram Kolkata,150,10670,1,No
Babanpur Kolkata,3 BHK Independent House for sale in Babanpur Kolkata,2.0 Cr,Babanpur Kolkata,1619,12350,3,Yes
Habra Kolkata,3 BHK Independent House for sale in Habra Kolkata,75.0 L,Habra Kolkata,1250,6000,3,Yes
Building Netaji Pally Purba BarishaKolkata,1 BHK Flat for sale in Purba Barisha Kolkata,18.0 L,Building Netaji Pally Purba BarishaKolkata,350,5140,1,Yes
Vaishnawi RegencySamanta Para Budge BudgeKolkata,2 BHK Flat for sale in Budge Budge Kolkata,32.0 L,Vaishnawi RegencySamanta Para Budge BudgeKolkata,1200,2670,3,No
Bhatpara Kolkata,5 BHK Independent House for sale in Bhatpara Kolkata,70.0 L,Bhatpara Kolkata,2400,2920,4,Yes
Unnayan Indrakanan,1 BHK Flat for sale in Sonarpur Kolkata,16.0 L,Sonarpur Kolkata,438,3650,2,Yes
Basak Bagan South Dum DumKolkata,9 BHK Independent House for sale in South Dum Dum Kolkata,2.4 Cr,Basak Bagan South Dum DumKolkata,4500,5330,5,Yes
Bansdroni Government Colony BansdroniKolkata,3 BHK Flat for sale in Bansdroni Kolkata,45.0 L,Bansdroni Government Colony BansdroniKolkata,900,5000,3,Yes
