Name,Property_Title,Price_InLakhs,Location,Total_Area,Price_per_SQFT,Baths,Balcony,Typeof_flat,City,Price_Growth
Aastha ResidencySukanta Nagar BarishaKolkata,2 BHK Flat for sale in Barisha Kolkata,22,Aastha ResidencySukanta Nagar BarishaKolkata,700,3140,2,1,2 BHK,Kolkata,26.28
Chandrabati apartmentJyangra BaguiatiKolkata,2 BHK Flat for sale in Baguiati Kolkata,20,Chandrabati apartmentJyangra BaguiatiKolkata,950,2100,3,0,2 BHK,Kolkata,22.65
Satgachi South Dum DumKolkata,5 BHK Independent House for sale in South Dum Dum Kolkata,125,Satgachi South Dum DumKolkata,1200,10420,3,0,5 BHK,Kolkata,140.57
Siddha Town,2 BHK Flat for sale in Talbanda Kolkata,33,Talbanda Kolkata,1020,3230,3,1,2 BHK,Kolkata,38.66
Binapani Abasan Nagerbazar Kolkata,2 BHK Flat for sale in Nagerbazar Kolkata,23,Binapani Abasan Nagerbazar Kolkata,802,2870,3,1,2 BHK,Kolkata,25.98
Udichi Apartments SarsunaBata Colony Behala ChowrastaKolkata,3 BHK Flat for sale in Behala Chowrasta Kolkata,28,Udichi Apartments SarsunaBata Colony Behala ChowrastaKolkata,1400,2000,3,1,3 BHK,Kolkata,31.34
Sneha Apartment Subhash Nagar Dum DumKolkata,2 BHK Flat for sale in Dum Dum Kolkata,27,Sneha Apartment Subhash Nagar Dum DumKolkata,814,3320,3,0,2 BHK,Kolkata,31.32
Diamond Park,2 BHK Flat for sale in Joka Kolkata,25,Bratachari Gram JokaKolkata,900,2780,3,1,2 BHK,Kolkata,28.65
Sumi Apartment,2 BHK Flat for sale in Nagerbazar Kolkata,26,Nagerbazar Kolkata,788,3300,2,1,2 BHK,Kolkata,29.4
Atapara BaranagarKolkata,2 BHK Flat for sale in Baranagar Kolkata,25,Atapara BaranagarKolkata,716,3490,2,1,2 BHK,Kolkata,27.97
Pravat Apartment,2 BHK Flat for sale in Garia Kolkata,40,Naktala GariaKolkata,936,4270,3,0,2 BHK,Kolkata,46.26
Shibrampur Shibrampur MauzaKolkata,2 BHK Flat for sale in Shibrampur Mauza Kolkata,30,Shibrampur Shibrampur MauzaKolkata,680,4410,2,1,2 BHK,Kolkata,33.38
Parnasree BehalaKolkata,2 BHK Flat for sale in Behala Kolkata,32,Parnasree BehalaKolkata,825,3880,3,0,2 BHK,Kolkata,37.66
Mohan ApartmentHridaypur Kolkata,2 BHK Flat for sale in Hridaypur Kolkata,21,Mohan ApartmentHridaypur Kolkata,902,2330,3,0,2 BHK,Kolkata,24.58
Purvanchal Nalban Bheri Salt Lake CityKolkata,3 BHK Flat for sale in Salt Lake City Kolkata,45,Purvanchal Nalban Bheri Salt Lake CityKolkata,700,6430,2,1,3 BHK,Kolkata,52.68
Purti Purti Utsav,3 BHK Flat for sale in Rajarhat Kolkata,45,Reekjoyoni RajarhatKolkata,1247,3610,3,0,3 BHK,Kolkata,50.42
Dakhinayan ApartmentBaidyapara GariaKolkata,2 BHK Flat for sale in Garia Kolkata,25,Dakhinayan ApartmentBaidyapara GariaKolkata,685,3650,2,1,2 BHK,Kolkata,27.6
Durga Plaza,2 BHK Flat for sale in Rajarhat Kolkata,25,Jyangra RajarhatKolkata,754,3310,2,1,2 BHK,Kolkata,29.21
Saradiya apartment Adipally SantoshpurKolkata,3 BHK Flat for sale in Santoshpur Kolkata,80,Saradiya apartment Adipally SantoshpurKolkata,1000,8000,3,1,3 BHK,Kolkata,89.02
Ambadeep Chit Kalikapur MukundapurKolkata,3 BHK Flat for sale in Mukundapur Kolkata,65,Ambadeep Chit Kalikapur MukundapurKolkata,1300,5000,3,1,3 BHK,Kolkata,73.42
Dayaram apartmentAdarsh Pali Para BelghoriaKolkata,3 BHK Flat for sale in Belghoria Kolkata,34,Dayaram apartmentAdarsh Pali Para BelghoriaKolkata,1167,2910,3,0,3 BHK,Kolkata,40.63
Udayan Pally Paschim BarishaKolkata,2 BHK Flat for sale in Paschim Barisha Kolkata,28,Udayan Pally Paschim BarishaKolkata,700,4000,2,1,2 BHK,Kolkata,31.81
Sahapur New AliporeKolkata,2 BHK Flat for sale in New Alipore Kolkata,105,Sahapur New AliporeKolkata,1100,9540,3,0,2 BHK,Kolkata,122.54
Dutta VillaSubodh Park BansdroniKolkata,1 BHK Flat for sale in Bansdroni Kolkata,12,Dutta VillaSubodh Park BansdroniKolkata,450,2780,2,1,1 BHK,Kolkata,13.75
Bisharpara BiratiKolkata,5 BHK Independent House for sale in Birati Kolkata,77,Bisharpara BiratiKolkata,2500,3080,4,1,5 BHK,Kolkata,85.23
Sonar Kunja ApartmentVerner Lane BelghoriaKolkata,2 BHK Flat for sale in Belghoria Kolkata,40,Sonar Kunja ApartmentVerner Lane BelghoriaKolkata,1060,3770,3,0,2 BHK,Kolkata,47.46
Babupara Purba PutiaryKolkata,8 BHK Independent House for sale in Purba Putiary Kolkata,60,Babupara Purba PutiaryKolkata,2600,2310,4,1,8 BHK,Kolkata,66.73
Merlin Residency,3 BHK Flat for sale in Tollygunge Kolkata,250,Rajendra Prasad Colony TollygungeKolkata,1916,13050,3,1,3 BHK,Kolkata,291.77
Rohini Apartment,2 BHK Flat for sale in Ganguly Bagan Kolkata,30,Ganguly Bagan Kolkata,800,3750,3,1,2 BHK,Kolkata,34.56
Joy Apartment,3 BHK Flat for sale in Lake Town Kolkata,50,Shreebhumi Lake TownKolkata,1300,3850,3,1,3 BHK,Kolkata,55.56
Loharuka Green Woods housing SocietyArjunpur KaikhaliKolkata,3 BHK Flat for sale in Kaikhali Kolkata,70,Loharuka Green Woods housing SocietyArjunpur KaikhaliKolkata,1140,6140,3,0,3 BHK,Kolkata,83.83
bangur avenue,2 BHK Flat for sale in Lake Town Kolkata,30,Bangur Lake TownKolkata,675,4440,2,1,2 BHK,Kolkata,33.27
Nabin Nagar NimtaKolkata,2 BHK Flat for sale in Nimta Kolkata,25,Nabin Nagar NimtaKolkata,960,2660,3,0,2 BHK,Kolkata,28.48
Mintu Dasgupta Smriti Apartment Haridevpur Paschim PutiaryKolkata,2 BHK Flat for sale in Paschim Putiary Kolkata,40,Mintu Dasgupta Smriti Apartment Haridevpur Paschim PutiaryKolkata,900,4440,3,0,2 BHK,Kolkata,47.25
Chandu Niwas,2 BHK Flat for sale in Regent Park Kolkata,20,Regent Place Regent ParkKolkata,450,4440,2,0,2 BHK,Kolkata,23.49
Sachitra ApartmentNaskar Para GarfaKolkata,2 BHK Flat for sale in Garfa Kolkata,32,Sachitra ApartmentNaskar Para GarfaKolkata,917,3490,3,1,2 BHK,Kolkata,36.54
Matagiri Harna Pally AgarparaKolkata,4 BHK Independent House for sale in Agarpara Kolkata,65,Matagiri Harna Pally AgarparaKolkata,2000,3250,2,1,4 BHK,Kolkata,72.06
Chandu Niwas,2 BHK Flat for sale in Regent Park Kolkata,25,Regent Place Regent ParkKolkata,450,5550,2,0,2 BHK,Kolkata,29.81
Siddha Galaxia,2.5 BHK Flat for sale in Rajarhat Kolkata,45,Gopalpur Gram RajarhatKolkata,1126,4000,3,0,2.5 BHK,Kolkata,53.26
Chandi niwasRegent Place Regent ParkKolkata,2 BHK Flat for sale in Regent Park Kolkata,25,Chandi niwasRegent Place Regent ParkKolkata,650,3850,2,0,2 BHK,Kolkata,28.2
Matagiri Harna Pally AgarparaKolkata,4 BHK Independent House for sale in Agarpara Kolkata,65,Matagiri Harna Pally AgarparaKolkata,2879,2260,4,1,4 BHK,Kolkata,76.93
Ananya Apartment,2 BHK Flat for sale in Dum Dum Park Kolkata,28,Dum Dum Park Kolkata,750,3730,2,1,2 BHK,Kolkata,31.28
Tollygunge Kolkata,2 BHK Flat for sale in Tollygunge Kolkata,67,Tollygunge Kolkata,880,7610,3,0,2 BHK,Kolkata,76.56
Joy Apartment,2 BHK Flat for sale in Paschim Putiary Kolkata,21,Haridevpur Paschim PutiaryKolkata,718,2920,2,0,2 BHK,Kolkata,23.28
Dream excellentJagatpur BaguiatiKolkata,2 BHK Flat for sale in Baguiati Kolkata,32,Dream excellentJagatpur BaguiatiKolkata,950,3370,3,1,2 BHK,Kolkata,36.39
Radha Krishna KunjJagatpur BaguiatiKolkata,2 BHK Flat for sale in Baguiati Kolkata,30,Radha Krishna KunjJagatpur BaguiatiKolkata,1004,2990,3,1,2 BHK,Kolkata,34.32
Mahek Residency Jadavpur University Campus Area JadavpurKolkata,2 BHK Flat for sale in Jadavpur Kolkata,55,Mahek Residency Jadavpur University Campus Area JadavpurKolkata,825,6670,3,0,2 BHK,Kolkata,65.6
R N Guha RoadRajbari Dum Dum CantonmentKolkata,2 BHK Flat for sale in Dum Dum Cantonment Kolkata,35,R N Guha RoadRajbari Dum Dum CantonmentKolkata,900,3890,3,0,2 BHK,Kolkata,40.12
Joy Apartment,1 BHK Flat for sale in Baguiati Kolkata,20,Ashwini Nagar BaguiatiKolkata,578,3460,2,0,1 BHK,Kolkata,22.18
Kamardanga Kolkata,3 BHK Flat for sale in Kamardanga Kolkata,32,Kamardanga Kolkata,750,4270,2,1,3 BHK,Kolkata,37.92
M P Guha Bhavan Belgachia Kolkata,2 BHK Flat for sale in Belgachia Kolkata,41,M P Guha Bhavan Belgachia Kolkata,780,5320,2,1,2 BHK,Kolkata,46.34
Oikotan apartmentAdipally SantoshpurKolkata,3 BHK Flat for sale in Santoshpur Kolkata,80,Oikotan apartmentAdipally SantoshpurKolkata,1400,5710,3,1,3 BHK,Kolkata,89.17
Kunja Villa ApartmentAriadaha BaranagarKolkata,1 BHK Flat for sale in Baranagar Kolkata,15,Kunja Villa ApartmentAriadaha BaranagarKolkata,425,3650,2,1,1 BHK,Kolkata,16.69
Green View Apartment,3 BHK Flat for sale in Chinar Park Kolkata,42,Chinar Park Kolkata,1000,4200,3,1,3 BHK,Kolkata,49.06
Magnolia City,2 BHK Flat for sale in Barasat Kolkata,20,Barasat Kolkata,760,2630,2,0,2 BHK,Kolkata,23.66
Jadavpur Kolkata,2 BHK Flat for sale in Jadavpur Kolkata,45,Jadavpur Kolkata,1000,4500,3,1,2 BHK,Kolkata,51.08
Panchanan Tala BehalaKolkata,3 BHK Villa for sale in Behala Kolkata,70,Panchanan Tala BehalaKolkata,2879,2430,4,1,3 BHK,Kolkata,80.86
Eden Tolly Greenwood,3 BHK Flat for sale in Kabardanga Kolkata,40,Kabardanga Kolkata,1200,3330,3,1,3 BHK,Kolkata,45.83
Maa udyanMurari Pukur UltadangaKolkata,2 BHK Flat for sale in Ultadanga Kolkata,40,Maa udyanMurari Pukur UltadangaKolkata,580,6900,2,1,2 BHK,Kolkata,45.37
Rabindra Abasan Desh Bandhu Nagar BaguiatiKolkata,2 BHK Flat for sale in Baguiati Kolkata,26,Rabindra Abasan Desh Bandhu Nagar BaguiatiKolkata,850,3060,3,1,2 BHK,Kolkata,29.19
Ghoshpara PatipukurKolkata,2 BHK Flat for sale in Patipukur Kolkata,20,Ghoshpara PatipukurKolkata,580,3450,2,0,2 BHK,Kolkata,23.46
Sneha Garden,2 BHK Flat for sale in Alipore Kolkata,40,Alipore Kolkata,750,5330,2,0,2 BHK,Kolkata,45.26
APANJAN Rajbari Dum Dum CantonmentKolkata,1 BHK Flat for sale in Dum Dum Cantonment Kolkata,16,APANJAN Rajbari Dum Dum CantonmentKolkata,568,2900,2,1,1 BHK,Kolkata,18.54
Ethics Sudha Apartment,3 BHK Flat for sale in Hridaypur Kolkata,25,Guda Gaspur HridaypurKolkata,1111,2250,3,1,3 BHK,Kolkata,29.35
Surath BhawanVidyasagar Ganguly BaganKolkata,2 BHK Flat for sale in Ganguly Bagan Kolkata,32,Surath BhawanVidyasagar Ganguly BaganKolkata,817,3920,3,0,2 BHK,Kolkata,35.86
Luna Bakery BesideVidyasagar Ganguly BaganKolkata,2 BHK Flat for sale in Ganguly Bagan Kolkata,24,Luna Bakery BesideVidyasagar Ganguly BaganKolkata,1050,2330,3,1,2 BHK,Kolkata,26.82
Block A Bangur AvenueKolkata,2 BHK Flat for sale in Bangur Avenue Kolkata,35,Block A Bangur AvenueKolkata,880,3980,3,0,2 BHK,Kolkata,41.73
Mudrika appartmentBlock A Bangur AvenueKolkata,2 BHK Flat for sale in Bangur Avenue Kolkata,35,Mudrika appartmentBlock A Bangur AvenueKolkata,875,4000,3,0,2 BHK,Kolkata,40.51
Arpita Apartment A N Saha RoadShreebhumi Lake TownKolkata,2 BHK Flat for sale in Lake Town Kolkata,40,Arpita Apartment A N Saha RoadShreebhumi Lake TownKolkata,968,4130,3,0,2 BHK,Kolkata,47.63
Pushpa ApartmentsPark Circus BallygungeKolkata,2 BHK Flat for sale in Ballygunge Kolkata,125,Pushpa ApartmentsPark Circus BallygungeKolkata,1450,8620,3,0,2 BHK,Kolkata,139.36
Azadgarh Residency,2 BHK Flat for sale in Regent Park Kolkata,15,Regent Place Regent ParkKolkata,560,2680,2,0,2 BHK,Kolkata,17.09
South Roy Nagar BramhapurKolkata,4 BHK Independent House for sale in Bramhapur Kolkata,70,South Roy Nagar BramhapurKolkata,1720,4070,3,1,4 BHK,Kolkata,80.63
Jagadhatri Apartment Sakher Bazar Purba BarishaKolkata,4 BHK Flat for sale in Purba Barisha Kolkata,80,Jagadhatri Apartment Sakher Bazar Purba BarishaKolkata,1600,5000,3,1,4 BHK,Kolkata,88.79
Parnasree Pally Kolkata,2 BHK Flat for sale in Parnasree Pally Kolkata,27,Parnasree Pally Kolkata,800,3380,5,0,2 BHK,Kolkata,29.9
Behind bigbazarVidyasagar Ganguly BaganKolkata,3 BHK Flat for sale in Ganguly Bagan Kolkata,35,Behind bigbazarVidyasagar Ganguly BaganKolkata,1150,3040,3,1,3 BHK,Kolkata,38.9
Azadgarh Residency,3 BHK Flat for sale in Regent Park Kolkata,38,Regent Place Regent ParkKolkata,1000,3800,3,0,3 BHK,Kolkata,45.38
SamajgarhAzadgarh Regent ParkKolkata,3 BHK Flat for sale in Regent Park Kolkata,42,SamajgarhAzadgarh Regent ParkKolkata,1273,3300,3,0,3 BHK,Kolkata,50.06
Apartment Regent Place Regent ParkKolkata,2 BHK Flat for sale in Regent Park Kolkata,30,Apartment Regent Place Regent ParkKolkata,650,4620,2,0,2 BHK,Kolkata,34.25
Eden Tolly Lakeside,3 BHK Flat for sale in Kabardanga Kolkata,65,Kabardanga Kolkata,1246,5220,3,0,3 BHK,Kolkata,75.89
KunjavillaAriadaha BaranagarKolkata,1 BHK Flat for sale in Baranagar Kolkata,16,KunjavillaAriadaha BaranagarKolkata,423,3780,2,0,1 BHK,Kolkata,18.18
Building Ariadaha BaranagarKolkata,1 BHK Flat for sale in Baranagar Kolkata,16,Building Ariadaha BaranagarKolkata,450,3560,2,0,1 BHK,Kolkata,18.9
Golf Green Urban Complex,3 BHK Flat for sale in Golf Green Kolkata,65,Golf Green Kolkata,1000,6500,3,0,3 BHK,Kolkata,72.7
Swamiji Housing SocietyShreebhumi Lake TownKolkata,2 BHK Flat for sale in Lake Town Kolkata,35,Swamiji Housing SocietyShreebhumi Lake TownKolkata,1035,3380,3,0,2 BHK,Kolkata,40.43
Mayurakshi Apartment KolupukurTeghoria Kolkata,1 BHK Flat for sale in Teghoria Kolkata,19,Mayurakshi Apartment KolupukurTeghoria Kolkata,695,2730,2,0,1 BHK,Kolkata,20.96
Mayurakshi Appartment Teghoria Kolkata,1 BHK Flat for sale in Teghoria Kolkata,19,Mayurakshi Appartment Teghoria Kolkata,695,2730,2,0,1 BHK,Kolkata,21.35
Swamiji Housing SocietyShree Bhumi PatipukurKolkata,2 BHK Flat for sale in Patipukur Kolkata,35,Swamiji Housing SocietyShree Bhumi PatipukurKolkata,1035,3380,3,0,2 BHK,Kolkata,38.61
Patuli Kolkata,5 BHK Independent House for sale in Patuli Kolkata,110,Patuli Kolkata,2700,4070,4,1,5 BHK,Kolkata,125.06
Barasat Kolkata,1 RK Flat for sale in Barasat Kolkata,5,Barasat Kolkata,350,1430,1,1,1 RK,Kolkata,5.64
Himangshu ApartmentsRaja Bazar Kolkata,2 BHK Flat for sale in Raja Bazar Kolkata,75,Himangshu ApartmentsRaja Bazar Kolkata,1050,7140,3,0,2 BHK,Kolkata,83.92
Rajbari Dum DumKolkata,2 BHK Independent House for sale in Dum Dum Kolkata,30,Rajbari Dum DumKolkata,900,3330,3,1,2 BHK,Kolkata,33.79
Krishna Apartments,2 BHK Flat for sale in Regent Park Kolkata,21,Regent Place Regent ParkKolkata,790,2660,2,1,2 BHK,Kolkata,23.74
Sarada Palli NimtaKolkata,2 BHK Flat for sale in Nimta Kolkata,22,Sarada Palli NimtaKolkata,721,3050,2,0,2 BHK,Kolkata,26.31
Magnolia Skyview,3 BHK Flat for sale in Omarhati Kolkata,65,Omarhati Kolkata,1185,5490,3,1,3 BHK,Kolkata,72.99
society meansi Ramkrishnanagar NabapallyKolkata,2 BHK Flat for sale in Nabapally Kolkata,15,society meansi Ramkrishnanagar NabapallyKolkata,750,2000,2,0,2 BHK,Kolkata,16.74
Aryan Towers,1 RK Flat for sale in Madhyamgram Kolkata,20,South Bankimpally MadhyamgramKolkata,400,5000,2,1,1 RK,Kolkata,23.34
Baghbazar Kolkata,10 BHK Independent House for sale in Baghbazar Kolkata,160,Baghbazar Kolkata,150,1070,1,0,10 BHK,Kolkata,185.85
Rose ApartmentTitagarh Kolkata,2 BHK Flat for sale in Titagarh Kolkata,20,Rose ApartmentTitagarh Kolkata,680,2940,2,0,2 BHK,Kolkata,23.78
Bhowanipore Kolkata,10 BHK Independent House for sale in Bhowanipore Kolkata,400,Bhowanipore Kolkata,4992,8010,5,1,10 BHK,Kolkata,477.17
Gouri Apartment,2 BHK Flat for sale in Taltala Kolkata,100,Maula Ali TaltalaKolkata,1074,9310,3,0,2 BHK,Kolkata,115.74
Basak Bagan South Dum DumKolkata,5 BHK Independent House for sale in South Dum Dum Kolkata,90,Basak Bagan South Dum DumKolkata,1500,6000,3,1,5 BHK,Kolkata,100.95
Bisharpara BiratiKolkata,5 BHK Villa for sale in Birati Kolkata,67,Bisharpara BiratiKolkata,3600,1860,3,1,5 BHK,Kolkata,74.21
Sradhanjali Apartment,3 BHK Flat for sale in Nimta Kolkata,42,Alipore NimtaKolkata,1073,3910,3,0,3 BHK,Kolkata,47.28
Chakraborty Para BarrackporeKolkata,5+ BHK Independent House for sale in Barrackpore Kolkata,70,Chakraborty Para BarrackporeKolkata,2205,3170,4,1,5+ BHK,Kolkata,83.04
Jorabagan Kolkata,10 BHK Independent House for sale in Jorabagan Kolkata,650,Jorabagan Kolkata,4100,15850,5,1,10 BHK,Kolkata,719.89
Welcome home Madhyamgram Kolkata,2 BHK Independent House for sale in Madhyamgram Kolkata,37,Welcome home Madhyamgram Kolkata,1050,3520,3,1,2 BHK,Kolkata,42.58
Nalban Bheri Salt Lake CityKolkata,5 BHK Independent House for sale in Salt Lake City Kolkata,180,Nalban Bheri Salt Lake CityKolkata,3151,5710,4,1,5 BHK,Kolkata,200.19
Ballygunj Military Camp BallygungeKolkata,10 BHK Independent House for sale in Ballygunge Kolkata,500,Ballygunj Military Camp BallygungeKolkata,1850,27030,3,1,10 BHK,Kolkata,551.76
Goa Bagan ManiktalaKolkata,4 BHK Independent House for sale in Maniktala Kolkata,100,Goa Bagan ManiktalaKolkata,1300,7690,3,0,4 BHK,Kolkata,112.71
RajnathBosepukur KasbaKolkata,2 BHK Flat for sale in Kasba Kolkata,22,RajnathBosepukur KasbaKolkata,450,4890,2,0,2 BHK,Kolkata,25.78
Reekjoyoni RajarhatKolkata,2 BHK Flat for sale in Rajarhat Kolkata,32,Reekjoyoni RajarhatKolkata,990,3230,3,0,2 BHK,Kolkata,35.46
Peerless Nagar,2 BHK Flat for sale in Sodepur Kolkata,46,Ramkrishna Pally SodepurKolkata,860,5350,3,1,2 BHK,Kolkata,51.21
Jole Doba Para KhardahKolkata,5 BHK Independent House for sale in Khardah Kolkata,150,Jole Doba Para KhardahKolkata,3000,5000,3,1,5 BHK,Kolkata,177.32
Anwar shah Jadavpur University Campus Area JadavpurKolkata,1 BHK Flat for sale in Jadavpur Kolkata,30,Anwar shah Jadavpur University Campus Area JadavpurKolkata,650,4620,2,1,1 BHK,Kolkata,34
Block M New AliporeKolkata,3 BHK Independent House for sale in New Alipore Kolkata,300,Block M New AliporeKolkata,2160,13890,4,1,3 BHK,Kolkata,352.6
Chakraborty Apartment,2 BHK Flat for sale in Tollygunge Kolkata,16,Rajendra Prasad Colony TollygungeKolkata,500,3200,2,0,2 BHK,Kolkata,19.08
Sarada Palli NimtaKolkata,1 RK Independent House for sale in Nimta Kolkata,15,Sarada Palli NimtaKolkata,863,1740,3,0,1 RK,Kolkata,17.06
Deepanjali apartmentSatgachi South Dum DumKolkata,1 RK Flat for sale in South Dum Dum Kolkata,14,Deepanjali apartmentSatgachi South Dum DumKolkata,464,3130,2,0,1 RK,Kolkata,15.68
govinda apartment,2 BHK Flat for sale in Teghoria Kolkata,35,Teghoria Kolkata,950,3680,3,1,2 BHK,Kolkata,41.56
Tranquility mastermind kolkataMukundapur Kolkata,3 BHK Flat for sale in Mukundapur Kolkata,69,Tranquility mastermind kolkataMukundapur Kolkata,1222,5650,3,0,3 BHK,Kolkata,77.44
KOUNIK Joyshree BaranagarKolkata,3 BHK Flat for sale in Baranagar Kolkata,35,KOUNIK Joyshree BaranagarKolkata,960,3700,3,1,3 BHK,Kolkata,39.13
KounickJoyshree BaranagarKolkata,3 BHK Flat for sale in Baranagar Kolkata,34,KounickJoyshree BaranagarKolkata,960,3540,3,0,3 BHK,Kolkata,38.48
Annapurna apartment,2 BHK Flat for sale in Shyamnagar Kolkata,32,Gurdah ShyamnagarKolkata,778,4110,2,1,2 BHK,Kolkata,37.86
Joyshree BaranagarKolkata,3 BHK Flat for sale in Baranagar Kolkata,40,Joyshree BaranagarKolkata,1300,3080,3,1,3 BHK,Kolkata,45.9
S N Roy RoadBlock E New AliporeKolkata,4 BHK Flat for sale in New Alipore Kolkata,55,S N Roy RoadBlock E New AliporeKolkata,1500,3670,3,0,4 BHK,Kolkata,60.93
Ramkrishnapally HridaypurKolkata,4 BHK Independent House for sale in Hridaypur Kolkata,60,Ramkrishnapally HridaypurKolkata,2200,2730,4,1,4 BHK,Kolkata,70.83
Joyshree BaranagarKolkata,6 BHK Independent House for sale in Baranagar Kolkata,100,Joyshree BaranagarKolkata,3500,2860,1,1,6 BHK,Kolkata,114.91
Kemia Apartments Lotus Phase II,1 BHK Flat for sale in Nayabad Kolkata,32,Bikash Guha Colony NayabadKolkata,756,4230,2,0,1 BHK,Kolkata,38.05
Sonarpur Kolkata,3 BHK Flat for sale in Sonarpur Kolkata,33,Sonarpur Kolkata,928,3560,3,1,3 BHK,Kolkata,36.4
The SoulAction Area III New TownKolkata,2 BHK Flat for sale in New Town Kolkata,80,The SoulAction Area III New TownKolkata,975,8210,3,1,2 BHK,Kolkata,88.65
PropertyGolf Green Kolkata,2 BHK Flat for sale in Golf Green Kolkata,31,PropertyGolf Green Kolkata,700,4500,2,1,2 BHK,Kolkata,36.17
NBCC Vibgyor Towers,4 BHK Flat for sale in New Town Kolkata,85,Action Area I New TownKolkata,1578,5390,3,1,4 BHK,Kolkata,101.74
Ma Tara Apartment,2 BHK Independent House for sale in Paschim Barisha Kolkata,21,Sakher Bazar Paschim BarishaKolkata,752,2790,2,1,2 BHK,Kolkata,23.98
Behala chow rastaDiamond Harbour Kolkata,4 BHK Independent House for sale in Diamond Harbour Kolkata,38,Behala chow rastaDiamond Harbour Kolkata,1469,2590,3,0,4 BHK,Kolkata,42.57
Sarada niketanRamchandrapur NarendrapurKolkata,2 BHK Flat for sale in Narendrapur Kolkata,14,Sarada niketanRamchandrapur NarendrapurKolkata,550,2540,2,0,2 BHK,Kolkata,16.5
Deshbandhu Nagar Kolkata,3 BHK Independent House for sale in Deshbandhu Nagar Kolkata,63,Deshbandhu Nagar Kolkata,1200,5250,3,0,3 BHK,Kolkata,70.47
Rajbari Dum Dum CantonmentKolkata,5 BHK Villa for sale in Dum Dum Cantonment Kolkata,250,Rajbari Dum Dum CantonmentKolkata,3000,8330,4,1,5 BHK,Kolkata,275.61
Panchanan Tala BehalaKolkata,8 BHK Independent House for sale in Behala Kolkata,58,Panchanan Tala BehalaKolkata,2000,2900,4,1,8 BHK,Kolkata,69.15
Jagannathgarh MahheshtalaKolkata,3 BHK Flat for sale in Mahheshtala Kolkata,45,Jagannathgarh MahheshtalaKolkata,1215,3700,3,0,3 BHK,Kolkata,50.79
Noapara BarasatKolkata,2 BHK Independent House for sale in Barasat Kolkata,59,Noapara BarasatKolkata,3600,1640,2,1,2 BHK,Kolkata,68.84
Goa Bagan ManiktalaKolkata,5 BHK Independent House for sale in Maniktala Kolkata,100,Goa Bagan ManiktalaKolkata,1300,7690,3,0,5 BHK,Kolkata,112.22
Jagannathgarh MahheshtalaKolkata,5 BHK Independent House for sale in Mahheshtala Kolkata,35,Jagannathgarh MahheshtalaKolkata,1500,2330,3,1,5 BHK,Kolkata,39.31
Merlin Emerald Shibrampur MahheshtalaKolkata,2 BHK Flat for sale in Mahheshtala Kolkata,15,Merlin Emerald Shibrampur MahheshtalaKolkata,680,2210,2,1,2 BHK,Kolkata,17.46
Haridevpur Paschim PutiaryKolkata,1 BHK Flat for sale in Paschim Putiary Kolkata,11,Haridevpur Paschim PutiaryKolkata,508,2260,2,1,1 BHK,Kolkata,12.15
Ideal Residency,2 BHK Flat for sale in Kankurgachi Kolkata,125,Kankurgachi Kolkata,1235,10120,3,0,2 BHK,Kolkata,139.91
Hiland Greens,2 BHK Flat for sale in Mahheshtala Kolkata,17,Jagannathgarh MahheshtalaKolkata,712,2390,2,1,2 BHK,Kolkata,20.35
Philips Colony Purba BarishaKolkata,3 BHK Independent House for sale in Purba Barisha Kolkata,140,Philips Colony Purba BarishaKolkata,1650,8480,3,1,3 BHK,Kolkata,159.08
Amar Iccha ApartmentKustia Kolkata,4 BHK Flat for sale in Kustia Kolkata,95,Amar Iccha ApartmentKustia Kolkata,1667,5700,3,1,4 BHK,Kolkata,109.3
Nishchintapur Budge BudgeKolkata,3 BHK Flat for sale in Budge Budge Kolkata,30,Nishchintapur Budge BudgeKolkata,1100,2730,3,0,3 BHK,Kolkata,35.65
S N Roy RoadSahapur New AliporeKolkata,4 BHK Flat for sale in New Alipore Kolkata,55,S N Roy RoadSahapur New AliporeKolkata,1380,3980,3,0,4 BHK,Kolkata,63.92
Noapara Joyshree BaranagarKolkata,3 BHK Flat for sale in Baranagar Kolkata,34,Noapara Joyshree BaranagarKolkata,960,3540,3,1,3 BHK,Kolkata,39.98
Noapara BarasatKolkata,2 BHK Independent House for sale in Barasat Kolkata,59,Noapara BarasatKolkata,6594,902000,6,1,2 BHK,Kolkata,67.87
Vishwakarma Building,2 BHK Flat for sale in Topsia Kolkata,20,Seal Lane TopsiaKolkata,850,2350,3,1,2 BHK,Kolkata,22.84
Binoy Pally NatagarhKolkata,2 BHK Independent House for sale in Natagarh Kolkata,35,Binoy Pally NatagarhKolkata,3254,1070,6,1,2 BHK,Kolkata,39.29
Bhawani Dreams,2 BHK Flat for sale in North Dum Dum Kolkata,95,Bediapara North Dum DumKolkata,1180,8050,3,1,2 BHK,Kolkata,108.42
Subodhbala ComplexPicnic Garden Kolkata,2 BHK Flat for sale in Picnic Garden Kolkata,20,Subodhbala ComplexPicnic Garden Kolkata,650,3080,2,0,2 BHK,Kolkata,23.15
Debika ApartmentSouth Roy Nagar BramhapurKolkata,2 BHK Flat for sale in Bramhapur Kolkata,16,Debika ApartmentSouth Roy Nagar BramhapurKolkata,660,2420,2,0,2 BHK,Kolkata,19.04
