Name,Property_Title,Price_InLakhs,Location,Total_Area,Price_per_SQFT,Baths,Balcony,Typeof_flat,City
Guduvancheri Chennai,2 BHK Independent House for sale in Guduvancheri Chennai,36,Guduvancheri Chennai,600,6080,2,0,2 BHK,Chennai
Iswaryam FlatsVOC Nagar PammalChennai,2 BHK Flat for sale in Pammal Chennai,30,Iswaryam FlatsVOC Nagar PammalChennai,770,3900,2,0,2 BHK,Chennai
Lake View Apartment,2 BHK Flat for sale in Mathur Chennai,39,TNHB Layout MathurChennai,840,4700,3,1,2 BHK,Chennai
TK Jasmine Grove,3 BHK Independent House for sale in Mahindra World City Chennai,39,Mahindra World City Chennai,1650,2360,3,1,3 BHK,Chennai
Sai sivamThirumangalam Anna Nagar WestChennai,3 BHK Flat for sale in Anna Nagar West Chennai,153,Sai sivamThirumangalam Anna Nagar WestChennai,1340,11420,3,1,3 BHK,Chennai
Adityaram Nagar Phase 5,4 BHK Villa for sale in Panaiyur Chennai,260,Adityaram Nagar PanaiyurChennai,3500,7430,5,1,4 BHK,Chennai
CasaGrand Monte Carlo,3 BHK Flat for sale in Saidapet Chennai,244,Gotha Medu Housing Board SaidapetChennai,1881,12970,3,1,3 BHK,Chennai
Pacifica Happiness Towers,4 BHK Flat for sale in Padur Chennai,125,Padur Chennai,2232,5600,4,1,4 BHK,Chennai
Pacifica Aurum Villas,4 BHK Villa for sale in Padur Chennai,140,Padur Chennai,2117,6610,4,1,4 BHK,Chennai
Godrej Palm Grove,3 BHK Flat for sale in Chembarambakkam Chennai,94,Chembarambakkam Chennai,1426,6630,3,0,3 BHK,Chennai
Jain Inseli Park,2 BHK Flat for sale in Padur Chennai,60,Padur Chennai,1121,5350,3,1,2 BHK,Chennai
Pacifica Pride Towers,2 BHK Flat for sale in Padur Chennai,67,Padur Chennai,1261,5310,3,0,2 BHK,Chennai
Prestige Courtyards by Prestige Estates Projects Ltd.,3 BHK Flat for sale in Sholinganallur Chennai,132,Sholinganallur Chennai,1689,7820,3,1,3 BHK,Chennai
TVS Flourish,2 BHK Flat for sale in Padappai Chennai,45,Padappai Chennai,886,5080,3,0,2 BHK,Chennai
Purva Windermere,1 RK Flat for sale in Pallikaranai Chennai,45,Pallikaranai Chennai,620,7260,2,0,1 RK,Chennai
Golden Opulence by Golden Homes,2 BHK Flat for sale in Poonamallee Chennai,60,Poonamallee Chennai,1093,5490,3,1,2 BHK,Chennai
TVS Green Acres,2 BHK Flat for sale in Kolapakkam - Vandalur Chennai,70,Unamancheri Kolapakkam Kolapakkam - VandalurChennai,1047,6680,3,0,2 BHK,Chennai
